Year,Units,État des stocks,Région,Groupe de stocks,Value
2022,Pourcentage,Zone critique,Arctique,Tous les groupes de stocks,0.0
2022,Pourcentage,État incertain,Arctique,Tous les groupes de stocks,0.857142857142857
2021,Pourcentage,Zone saine,Arctique,Tous les groupes de stocks,0.0952380952380952
2021,Pourcentage,Zone de prudence,Arctique,Tous les groupes de stocks,0.0476190476190476
2021,Pourcentage,Zone critique,Arctique,Tous les groupes de stocks,0.0
2021,Pourcentage,État incertain,Arctique,Tous les groupes de stocks,0.857142857142857
2022,Pourcentage,Zone saine,Atlantique,Tous les groupes de stocks,0.341880341880342
2022,Pourcentage,Zone de prudence,Atlantique,Tous les groupes de stocks,0.0854700854700855
2022,Pourcentage,Zone critique,Atlantique,Tous les groupes de stocks,0.153846153846154
2022,Pourcentage,État incertain,Atlantique,Tous les groupes de stocks,0.418803418803419
2021,Pourcentage,Zone saine,Atlantique,Tous les groupes de stocks,0.359649122807018
2021,Pourcentage,Zone de prudence,Atlantique,Tous les groupes de stocks,0.087719298245614
2021,Pourcentage,Zone critique,Atlantique,Tous les groupes de stocks,0.157894736842105
2021,Pourcentage,État incertain,Atlantique,Tous les groupes de stocks,0.394736842105263
2022,Nombre,Zone de prudence et la zone saine,Pacifique,Tous les groupes de stocks,37.0
2021,Nombre,Zone de prudence et la zone saine,Pacifique,Tous les groupes de stocks,39.0
2022,Nombre,Zone de prudence et la zone saine,Arctique,Tous les groupes de stocks,3.0
2021,Nombre,Zone de prudence et la zone saine,Arctique,Tous les groupes de stocks,3.0
2022,Nombre,Zone de prudence et la zone saine,Atlantique,Tous les groupes de stocks,50.0
2021,Nombre,Zone de prudence et la zone saine,Atlantique,Tous les groupes de stocks,51.0
2022,Pourcentage,Zone de prudence et la zone saine,Pacifique,Tous les groupes de stocks,0.649122807017544
2021,Pourcentage,Zone de prudence et la zone saine,Pacifique,Tous les groupes de stocks,0.684210526315789
2022,Pourcentage,Zone de prudence et la zone saine,Arctique,Tous les groupes de stocks,0.142857142857143
2021,Pourcentage,Zone de prudence et la zone saine,Arctique,Tous les groupes de stocks,0.142857142857143
2022,Pourcentage,Zone de prudence et la zone saine,Atlantique,Tous les groupes de stocks,0.427350427350427
2021,Pourcentage,Zone de prudence et la zone saine,Atlantique,Tous les groupes de stocks,0.447368421052632
2022,Nombre,Zone saine,Canada,Mammifères marins,2.0
