Year,Géographie,Groupe d'âge,Sexe,Type de famille économique,GeoCode,Value
2018,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,28.3
2018,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,15.7
2018,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,33.5
2019,"Montréal, Québec",Total,Les deux sexes,Total,,10.4
2019,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,7.3
2019,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,12.3
2019,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,7.0
2019,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,6.3
2019,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,7.3
2019,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,6.9
2019,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,6.6
2019,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,28.0
2019,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,13.8
2019,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,35.3
2020,"Montréal, Québec",Total,Les deux sexes,Total,,5.4
2020,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,6.8
2020,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,2.9
2020,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,2.5
2020,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,2.6
2020,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,18.5
2020,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,6.6
2020,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,23.4
2021,"Montréal, Québec",Total,Les deux sexes,Total,,5.9
2021,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,4.1
2021,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,6.4
2021,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,6.2
2021,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,3.2
2021,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,4.1
2021,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,2.9
2021,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,17.0
2021,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,11.9
2021,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,19.5
2022,"Montréal, Québec",Total,Les deux sexes,Total,,7.8
2022,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,5.7
2022,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,9.4
2022,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,4.1
2022,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,4.5
2022,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,,2.0
2022,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,5.7
2022,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,4.3
2022,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,4.6
2022,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,21.0
2022,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,8.2
2022,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,26.2
2023,"Montréal, Québec",Total,Les deux sexes,Total,,8.6
2023,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,7.5
2023,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,10.1
2023,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,4.6
2023,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,5.2
2023,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,,2.0
2023,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,7.5
