Year,Geography,Age group,Gender,Economic family type,GeoCode,Value
2019,Canada,65 years and over,Woman+,Total,,6.4
2019,Canada,Total,All genders,Persons in economic families,,7.1
2019,Canada,Total,Man+,Persons in economic families,,6.8
2019,Canada,Total,Woman+,Persons in economic families,,7.3
2019,Canada,65 years and over,All genders,Seniors in economic families,,3.1
2019,Canada,65 years and over,Man+,Seniors in economic families,,3.2
2019,Canada,65 years and over,Woman+,Seniors in economic families,,2.9
2019,Canada,Under 18 years,All genders,Persons in economic families,,9.3
2019,Canada,Under 18 years,All genders,Persons in couple families with children,,7.0
2019,Canada,Under 18 years,All genders,Persons in all other economic families,,8.4
2019,Canada,18 to 64 years,All genders,Persons in economic families,,7.2
2019,Canada,18 to 64 years,Man+,Persons in economic families,,6.7
2019,Canada,18 to 64 years,Woman+,Persons in economic families,,7.6
2019,Canada,Total,All genders,Persons not in an economic family,,27.0
2019,Canada,Total,Man+,Persons not in an economic family,,26.4
2019,Canada,Total,Woman+,Persons not in an economic family,,27.5
2019,Canada,65 years and over,All genders,Seniors not in an economic family,,12.1
2019,Canada,65 years and over,Man+,Seniors not in an economic family,,11.3
2019,Canada,65 years and over,Woman+,Seniors not in an economic family,,12.5
2019,Canada,,All genders,Non-seniors not in an economic family,,33.7
2019,Canada,,Man+,Non-seniors not in an economic family,,30.9
2019,Canada,,Woman+,Non-seniors not in an economic family,,37.2
2020,Canada,Under 18 years,All genders,Total,,4.8
2020,Canada,18 to 64 years,All genders,Total,,8.0
2020,Canada,65 years and over,All genders,Total,,3.2
2020,Canada,Total,Man+,Total,,6.5
2020,Canada,Under 18 years,Man+,Total,,4.7
2020,Canada,18 to 64 years,Man+,Total,,8.0
2020,Canada,65 years and over,Man+,Total,,2.8
2020,Canada,Total,Woman+,Total,,6.6
2020,Canada,Under 18 years,Woman+,Total,,4.9
2020,Canada,18 to 64 years,Woman+,Total,,8.0
2020,Canada,65 years and over,Woman+,Total,,3.5
2020,Canada,Total,All genders,Persons in economic families,,3.5
2020,Canada,Total,Man+,Persons in economic families,,3.3
2020,Canada,Total,Woman+,Persons in economic families,,3.7
2020,Canada,65 years and over,All genders,Seniors in economic families,,1.3
2020,Canada,65 years and over,Man+,Seniors in economic families,,1.3
2020,Canada,65 years and over,Woman+,Seniors in economic families,,1.4
2020,Canada,Under 18 years,All genders,Persons in economic families,,4.7
2020,Canada,Under 18 years,All genders,Persons in couple families with children,,3.1
2020,Canada,Under 18 years,All genders,Persons in all other economic families,,4.6
2020,Canada,18 to 64 years,All genders,Persons in economic families,,3.6
2020,Canada,18 to 64 years,Man+,Persons in economic families,,3.3
2020,Canada,18 to 64 years,Woman+,Persons in economic families,,3.9
2020,Canada,Total,All genders,Persons not in an economic family,,21.0
2020,Canada,Total,Man+,Persons not in an economic family,,21.4
2020,Canada,Total,Woman+,Persons not in an economic family,,20.6
2020,Canada,65 years and over,All genders,Seniors not in an economic family,,7.4
2020,Canada,65 years and over,Man+,Seniors not in an economic family,,7.6
2020,Canada,65 years and over,Woman+,Seniors not in an economic family,,7.3
2020,Canada,,All genders,Non-seniors not in an economic family,,27.3
2020,Canada,,Man+,Non-seniors not in an economic family,,25.3
2020,Canada,,Woman+,Non-seniors not in an economic family,,29.9
2021,Canada,Under 18 years,All genders,Total,,6.6
2021,Canada,18 to 64 years,All genders,Total,,8.5
2021,Canada,65 years and over,All genders,Total,,5.6
2021,Canada,Total,Man+,Total,,7.3
2021,Canada,Under 18 years,Man+,Total,,6.3
2021,Canada,18 to 64 years,Man+,Total,,8.2
2021,Canada,65 years and over,Man+,Total,,5.0
2021,Canada,Total,Woman+,Total,,7.9
2021,Canada,Under 18 years,Woman+,Total,,6.8
2021,Canada,18 to 64 years,Woman+,Total,,8.8
2021,Canada,65 years and over,Woman+,Total,,6.2
