Year,Geography,Product category,GeoCode,Value
2015,Canadian territorial enclaves abroad,Transportation vehicles,,5.66
2015,Canadian territorial enclaves abroad,Other products,,6.33
2016,Canada,Construction materials,,1.17
2016,Canada,Electrical and electronic equipment,,1.0
2016,Canada,Electronics,,1.06
2016,Canada,Major appliances,,0.3
2016,Canada,Other electrical and electronic equipment,,1.06
2016,Canada,Packaging,,1.35
2016,Canada,Bottles,,1.36
2016,Canada,Film,,1.35
2016,Canada,Non-bottle rigid,,1.35
2016,Canada,Other packaging products,,1.35
2016,Canada,Agriculture film,,1.2
2016,Canada,Textiles,,1.09
2016,Canada,Transportation vehicles,,1.35
2016,Canada,Light-duty vehicles,,1.41
2016,Canada,Other transportation vehicles,,1.26
2016,Canada,Other products,,1.81
2016,Newfoundland and Labrador,"Total, all product categories",10,2.16
2016,Newfoundland and Labrador,Construction materials,10,1.18
2016,Newfoundland and Labrador,Electrical and electronic equipment,10,0.97
2016,Newfoundland and Labrador,Packaging,10,1.35
2016,Newfoundland and Labrador,Agriculture film,10,1.42
2016,Newfoundland and Labrador,Textiles,10,1.1
2016,Newfoundland and Labrador,Transportation vehicles,10,6.81
2016,Newfoundland and Labrador,Other products,10,1.6
2016,Prince Edward Island,"Total, all product categories",11,1.39
2016,Prince Edward Island,Construction materials,11,1.3
2016,Prince Edward Island,Electrical and electronic equipment,11,0.97
2016,Prince Edward Island,Packaging,11,1.36
2016,Prince Edward Island,Agriculture film,11,1.17
2016,Prince Edward Island,Textiles,11,1.05
2016,Prince Edward Island,Transportation vehicles,11,1.24
2016,Prince Edward Island,Other products,11,1.78
2016,Nova Scotia,"Total, all product categories",12,1.37
2016,Nova Scotia,Construction materials,12,1.18
2016,Nova Scotia,Electrical and electronic equipment,12,0.97
2016,Nova Scotia,Packaging,12,1.35
2016,Nova Scotia,Agriculture film,12,1.17
2016,Nova Scotia,Textiles,12,1.08
2016,Nova Scotia,Transportation vehicles,12,1.24
2016,Nova Scotia,Other products,12,1.8
2016,New Brunswick,"Total, all product categories",13,1.4
2016,New Brunswick,Construction materials,13,1.17
2016,New Brunswick,Electrical and electronic equipment,13,1.0
2016,New Brunswick,Packaging,13,1.35
2016,New Brunswick,Agriculture film,13,1.17
2016,New Brunswick,Textiles,13,1.09
2016,New Brunswick,Transportation vehicles,13,1.24
2016,New Brunswick,Other products,13,1.78
2016,Quebec,"Total, all product categories",24,1.39
2016,Quebec,Construction materials,24,1.17
