Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2021,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,49
2021,Terre-Neuve-et-Labrador,Électrique,10,49
2022,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,107
2022,Terre-Neuve-et-Labrador,Électrique,10,107
2023,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,128
2023,Terre-Neuve-et-Labrador,Électrique,10,127
2023,Terre-Neuve-et-Labrador,Propane,10,1
2024,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,142
2024,Terre-Neuve-et-Labrador,Électrique,10,140
2024,Terre-Neuve-et-Labrador,Propane,10,2
2025,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,158
2025,Terre-Neuve-et-Labrador,Électrique,10,156
2026,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,173
2026,Terre-Neuve-et-Labrador,Électrique,10,171
2015,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,1
2015,Territoires du Nord-Ouest,Propane,61,1
2023,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,2
2023,Territoires du Nord-Ouest,Électrique,61,1
2024,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,7
2024,Territoires du Nord-Ouest,Électrique,61,6
2025,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,14
2025,Territoires du Nord-Ouest,Électrique,61,13
2026,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,15
2026,Territoires du Nord-Ouest,Électrique,61,14
2012,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,1
2012,Nouvelle-Écosse,Électrique,12,1
2013,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,4
2013,Nouvelle-Écosse,Électrique,12,3
2013,Nouvelle-Écosse,Propane,12,1
2014,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,10
2014,Nouvelle-Écosse,Électrique,12,9
2015,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,21
2015,Nouvelle-Écosse,Électrique,12,19
2015,Nouvelle-Écosse,Propane,12,2
2016,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,23
2016,Nouvelle-Écosse,Électrique,12,21
2017,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,27
2017,Nouvelle-Écosse,Électrique,12,25
2018,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,29
2018,Nouvelle-Écosse,Électrique,12,27
2019,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,47
2019,Nouvelle-Écosse,Électrique,12,45
2020,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,49
2020,Nouvelle-Écosse,Électrique,12,47
2021,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,63
2021,Nouvelle-Écosse,Électrique,12,60
2021,Nouvelle-Écosse,Propane,12,3
2022,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,133
2022,Nouvelle-Écosse,Électrique,12,129
2022,Nouvelle-Écosse,Propane,12,4
2023,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,209
2023,Nouvelle-Écosse,Électrique,12,205
2024,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,258
2024,Nouvelle-Écosse,Électrique,12,253
2024,Nouvelle-Écosse,Propane,12,5
2025,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,307
2025,Nouvelle-Écosse,Électrique,12,302
2026,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,329
2026,Nouvelle-Écosse,Électrique,12,324
2010,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,30
2010,Ontario,Électrique,35,1
2010,Ontario,Propane,35,29
2011,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,35
2011,Ontario,Électrique,35,6
2012,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,42
2012,Ontario,Électrique,35,13
2013,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,59
2013,Ontario,Électrique,35,28
2013,Ontario,Propane,35,31
2014,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,96
2014,Ontario,Gaz naturel comprimé,35,1
2014,Ontario,Électrique,35,63
2014,Ontario,Propane,35,32
2015,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,176
2015,Ontario,Gaz naturel comprimé,35,2
2015,Ontario,Électrique,35,141
2015,Ontario,Propane,35,33
2016,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,219
2016,Ontario,Électrique,35,182
2016,Ontario,Hydrogène,35,1
2016,Ontario,Propane,35,34
2017,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,360
2017,Ontario,Gaz naturel comprimé,35,4
2017,Ontario,Électrique,35,282
2017,Ontario,Propane,35,73
2018,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,429
2018,Ontario,Gaz naturel comprimé,35,7
2018,Ontario,Électrique,35,345
2018,Ontario,Propane,35,76
2019,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,662
2019,Ontario,Gaz naturel comprimé,35,8
2019,Ontario,Électrique,35,572
2019,Ontario,Propane,35,81
2020,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,742
2020,Ontario,Électrique,35,645
2020,Ontario,Propane,35,88
2021,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,968
2021,Ontario,Gaz naturel comprimé,35,9
2021,Ontario,Électrique,35,869
2021,Ontario,Propane,35,89
2022,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,1624
2022,Ontario,Électrique,35,1512
2022,Ontario,Propane,35,102
2023,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,2518
2023,Ontario,Électrique,35,2402
2023,Ontario,Propane,35,106
2024,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,3373
2024,Ontario,Électrique,35,3240
2024,Ontario,Hydrogène,35,2
2024,Ontario,Propane,35,122
2025,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4103
2025,Ontario,Électrique,35,3968
2025,Ontario,Propane,35,124
2026,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4576
2026,Ontario,Électrique,35,4441
2013,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,1
2013,Île-du-Prince-Édouard,Électrique,11,1
2014,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,5
2014,Île-du-Prince-Édouard,Électrique,11,5
2015,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,11
2015,Île-du-Prince-Édouard,Électrique,11,11
2017,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,15
2017,Île-du-Prince-Édouard,Électrique,11,15
2018,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,17
2018,Île-du-Prince-Édouard,Électrique,11,17
2020,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,23
2020,Île-du-Prince-Édouard,Électrique,11,23
2021,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,53
2021,Île-du-Prince-Édouard,Électrique,11,53
2022,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,91
2022,Île-du-Prince-Édouard,Électrique,11,90
2022,Île-du-Prince-Édouard,Propane,11,1
2023,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,163
2023,Île-du-Prince-Édouard,Électrique,11,162
2024,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,190
2024,Île-du-Prince-Édouard,Électrique,11,188
2024,Île-du-Prince-Édouard,Propane,11,2
