Year,data.Geography,data.Industry,Value
2017,data.Nova Scotia,data.Other industries,0.3752554
2018,data.Nova Scotia,data.Other industries,0.3916721
2019,data.Nova Scotia,data.Other industries,0.3878408
2015,data.New Brunswick,"data.Total, all industries",1.4998778
2016,data.New Brunswick,"data.Total, all industries",1.5992397
2017,data.New Brunswick,"data.Total, all industries",1.5854376
2018,data.New Brunswick,"data.Total, all industries",1.6427341
2019,data.New Brunswick,"data.Total, all industries",1.6654808
2015,data.New Brunswick,data.Utilities [BS220],46.1595547
2016,data.New Brunswick,data.Utilities [BS220],47.4906367
2017,data.New Brunswick,data.Utilities [BS220],48.1654676
2018,data.New Brunswick,data.Utilities [BS220],49.0405904
2019,data.New Brunswick,data.Utilities [BS220],54.4347826
2015,data.New Brunswick,data.Engineering construction [BS23C],2.6277683
2016,data.New Brunswick,data.Engineering construction [BS23C],3.9184692
2017,data.New Brunswick,data.Engineering construction [BS23C],4.4907319
2018,data.New Brunswick,data.Engineering construction [BS23C],4.5420816
2019,data.New Brunswick,data.Engineering construction [BS23C],3.8854489
2015,data.New Brunswick,data.Manufacturing [BS3A0],3.5332894
2016,data.New Brunswick,data.Manufacturing [BS3A0],3.562864
2017,data.New Brunswick,data.Manufacturing [BS3A0],2.9780926
2018,data.New Brunswick,data.Manufacturing [BS3A0],2.6568266
2019,data.New Brunswick,data.Manufacturing [BS3A0],2.9232562
2015,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",2.3911383
2016,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",2.7319211
2017,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",1.8635363
2018,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",3.6174636
2019,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",3.4715201
2015,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",3.8135938
2016,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",4.5716946
2017,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",5.1003009
2018,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",4.9542218
2019,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",4.3494959
2015,data.New Brunswick,data.Other industries,0.4074629
2016,data.New Brunswick,data.Other industries,0.3943996
2017,data.New Brunswick,data.Other industries,0.3663711
2018,data.New Brunswick,data.Other industries,0.4095357
2019,data.New Brunswick,data.Other industries,0.4166982
2015,data.Quebec,"data.Total, all industries",1.999177
2016,data.Quebec,"data.Total, all industries",1.9087271
2017,data.Quebec,"data.Total, all industries",1.840727
2018,data.Quebec,"data.Total, all industries",1.9244995
2019,data.Quebec,"data.Total, all industries",1.9318729
2015,data.Quebec,data.Utilities [BS220],74.9229802
2016,data.Quebec,data.Utilities [BS220],74.6728972
2017,data.Quebec,data.Utilities [BS220],75.1965201
2018,data.Quebec,data.Utilities [BS220],70.6541499
2019,data.Quebec,data.Utilities [BS220],72.8706429
2015,data.Quebec,data.Engineering construction [BS23C],8.4460151
2016,data.Quebec,data.Engineering construction [BS23C],7.2194984
2017,data.Quebec,data.Engineering construction [BS23C],5.8301307
2018,data.Quebec,data.Engineering construction [BS23C],4.9718108
2019,data.Quebec,data.Engineering construction [BS23C],4.7601351
2015,data.Quebec,data.Manufacturing [BS3A0],2.2079037
2016,data.Quebec,data.Manufacturing [BS3A0],2.1003239
2017,data.Quebec,data.Manufacturing [BS3A0],2.0599871
2018,data.Quebec,data.Manufacturing [BS3A0],2.817546
2019,data.Quebec,data.Manufacturing [BS3A0],2.8122914
2015,data.Quebec,"data.Professional, scientific and technical services [BS540]",2.9106418
2016,data.Quebec,"data.Professional, scientific and technical services [BS540]",2.9771356
2017,data.Quebec,"data.Professional, scientific and technical services [BS540]",3.568277
