Year,Geography,Type of electricity generation,Value
2016,Saskatchewan,Other types of electricity generation, -   
2017,Saskatchewan,Other types of electricity generation, -   
2018,Saskatchewan,Other types of electricity generation, 0.50 
2019,Saskatchewan,Other types of electricity generation, 0.50 
2015,Alberta,"Total hydro, tidal, wind, solar and other generation", 7.70 
2016,Alberta,"Total hydro, tidal, wind, solar and other generation", 8.60 
2017,Alberta,"Total hydro, tidal, wind, solar and other generation", 8.60 
2018,Alberta,"Total hydro, tidal, wind, solar and other generation", 8.20 
2019,Alberta,"Total hydro, tidal, wind, solar and other generation", 8.30 
2015,Alberta,Hydraulic turbine, 2.40 
2016,Alberta,Hydraulic turbine, 2.50 
2017,Alberta,Hydraulic turbine, 2.60 
2018,Alberta,Hydraulic turbine, 2.60 
2019,Alberta,Hydraulic turbine, 2.70 
2015,Alberta,Wind power turbine, 5.10 
2016,Alberta,Wind power turbine, 5.80 
2017,Alberta,Wind power turbine, 5.80 
2018,Alberta,Wind power turbine, 5.40 
2019,Alberta,Wind power turbine, 5.50 
2015,Alberta,Solar, -   
2016,Alberta,Solar, -   
2017,Alberta,Solar, -   
2018,Alberta,Solar, -   
2019,Alberta,Solar, -   
2015,Alberta,Other types of electricity generation, 0.20 
2016,Alberta,Other types of electricity generation, 0.20 
2017,Alberta,Other types of electricity generation, 0.30 
2018,Alberta,Other types of electricity generation, 0.10 
2019,Alberta,Other types of electricity generation, 0.10 
2015,British Columbia,"Total hydro, tidal, wind, solar and other generation", 91.80 
2016,British Columbia,"Total hydro, tidal, wind, solar and other generation", 90.50 
2017,British Columbia,"Total hydro, tidal, wind, solar and other generation", 91.50 
2018,British Columbia,"Total hydro, tidal, wind, solar and other generation", 90.80 
2019,British Columbia,"Total hydro, tidal, wind, solar and other generation", 88.90 
2015,British Columbia,Hydraulic turbine, 90.60 
2016,British Columbia,Hydraulic turbine, 88.70 
2017,British Columbia,Hydraulic turbine, 89.30 
2018,British Columbia,Hydraulic turbine, 88.40 
2019,British Columbia,Hydraulic turbine, 86.30 
2015,British Columbia,Wind power turbine, 1.20 
2016,British Columbia,Wind power turbine, 1.80 
2017,British Columbia,Wind power turbine, 2.20 
2018,British Columbia,Wind power turbine, 2.50 
2019,British Columbia,Wind power turbine, 2.60 
2015,British Columbia,Solar, -   
2016,British Columbia,Solar, -   
2017,British Columbia,Solar, -   
2018,British Columbia,Solar, -   
2019,British Columbia,Solar, -   
2015,British Columbia,Other types of electricity generation, -   
2016,British Columbia,Other types of electricity generation, -   
2017,British Columbia,Other types of electricity generation, -   
2018,British Columbia,Other types of electricity generation, -   
2019,British Columbia,Other types of electricity generation, -   
2015,Yukon,"Total hydro, tidal, wind, solar and other generation", 94.30 
2016,Yukon,"Total hydro, tidal, wind, solar and other generation", 94.00 
2017,Yukon,"Total hydro, tidal, wind, solar and other generation", 92.40 
2018,Yukon,"Total hydro, tidal, wind, solar and other generation", 87.60 
2019,Yukon,"Total hydro, tidal, wind, solar and other generation", 80.40 
2015,Yukon,Hydraulic turbine, 94.20 
2016,Yukon,Hydraulic turbine, 93.80 
2017,Yukon,Hydraulic turbine, 92.40 
2018,Yukon,Hydraulic turbine, 87.60 
2019,Yukon,Hydraulic turbine, 80.40 
2015,Yukon,Wind power turbine, 0.10 
2016,Yukon,Wind power turbine, 0.10 
2017,Yukon,Wind power turbine, -   
2018,Yukon,Wind power turbine, -   
2019,Yukon,Wind power turbine, -   
2015,Northwest Territories,"Total hydro, tidal, wind, solar and other generation", 25.00 
2016,Northwest Territories,"Total hydro, tidal, wind, solar and other generation", 31.90 
2017,Northwest Territories,"Total hydro, tidal, wind, solar and other generation", 35.60 
2018,Northwest Territories,"Total hydro, tidal, wind, solar and other generation", 35.70 
2019,Northwest Territories,"Total hydro, tidal, wind, solar and other generation", 39.60 
2015,Northwest Territories,Hydraulic turbine, 22.20 
2016,Northwest Territories,Hydraulic turbine, 30.10 
2017,Northwest Territories,Hydraulic turbine, 33.30 
2018,Northwest Territories,Hydraulic turbine, 33.30 
2019,Northwest Territories,Hydraulic turbine, 37.10 
2015,Northwest Territories,Wind power turbine, 2.80 
2016,Northwest Territories,Wind power turbine, 1.80 
2017,Northwest Territories,Wind power turbine, 2.30 
2018,Northwest Territories,Wind power turbine, 2.40 
2019,Northwest Territories,Wind power turbine, 2.40 
2015,Northwest Territories,Solar, -   
2016,Northwest Territories,Solar, -   
2017,Northwest Territories,Solar, -   
2018,Northwest Territories,Solar, -   
2019,Northwest Territories,Solar, -   
2018,Northwest Territories,Other types of electricity generation, -   
2019,Northwest Territories,Other types of electricity generation, -   
2015,Nunavut,"Total hydro, tidal, wind, solar and other generation", -   
2016,Nunavut,"Total hydro, tidal, wind, solar and other generation", -   
2017,Nunavut,"Total hydro, tidal, wind, solar and other generation", -   
2018,Nunavut,"Total hydro, tidal, wind, solar and other generation", -   
2019,Nunavut,"Total hydro, tidal, wind, solar and other generation", -   
,,,
