"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2021,"Edmonton, Alberta","Total","Both sexes","Total",,7.7
2021,"Edmonton, Alberta","Under 18 years","Both sexes","Total",,7.4
2021,"Edmonton, Alberta","18 to 64 years","Both sexes","Total",,8.3
2021,"Edmonton, Alberta","65 years and over","Both sexes","Total",,5.5
2021,"Edmonton, Alberta","Total","Both sexes","Persons in economic families",,4.6
2021,"Edmonton, Alberta","Under 18 years","Both sexes","Persons in economic families",,7.4
2021,"Edmonton, Alberta","18 to 64 years","Both sexes","Persons in economic families",,4.1
2021,"Edmonton, Alberta","Total","Both sexes","Persons not in an economic family",,23.5
2021,"Edmonton, Alberta","65 years and over","Both sexes","Seniors not in an economic family",,19
2021,"Edmonton, Alberta","","Both sexes","Non-seniors not in an economic family",,24.7
2022,"Edmonton, Alberta","Total","Both sexes","Total",,11.2
2022,"Edmonton, Alberta","Under 18 years","Both sexes","Total",,13
2022,"Edmonton, Alberta","18 to 64 years","Both sexes","Total",,11.8
2022,"Edmonton, Alberta","65 years and over","Both sexes","Total",,6.4
2022,"Edmonton, Alberta","Total","Both sexes","Persons in economic families",,8.3
2022,"Edmonton, Alberta","65 years and over","Both sexes","Seniors in economic families",,2.9
2022,"Edmonton, Alberta","Under 18 years","Both sexes","Persons in economic families",,13
2022,"Edmonton, Alberta","Under 18 years","Both sexes","Persons in couple families with children",,8.2
2022,"Edmonton, Alberta","18 to 64 years","Both sexes","Persons in economic families",,7.5
2022,"Edmonton, Alberta","Total","Both sexes","Persons not in an economic family",,25.2
2022,"Edmonton, Alberta","65 years and over","Both sexes","Seniors not in an economic family",,15.8
2022,"Edmonton, Alberta","","Both sexes","Non-seniors not in an economic family",,28.1
2023,"Edmonton, Alberta","Total","Both sexes","Total",,10.7
2023,"Edmonton, Alberta","Under 18 years","Both sexes","Total",,12.4
2023,"Edmonton, Alberta","18 to 64 years","Both sexes","Total",,12
2023,"Edmonton, Alberta","65 years and over","Both sexes","Total",,3.6
2023,"Edmonton, Alberta","Total","Both sexes","Persons in economic families",,7.7
2023,"Edmonton, Alberta","Under 18 years","Both sexes","Persons in economic families",,12.3
2023,"Edmonton, Alberta","Under 18 years","Both sexes","Persons in couple families with children",,7
2023,"Edmonton, Alberta","18 to 64 years","Both sexes","Persons in economic families",,7.5
2023,"Edmonton, Alberta","Total","Both sexes","Persons not in an economic family",,26
2023,"Edmonton, Alberta","65 years and over","Both sexes","Seniors not in an economic family",,11.6
2023,"Edmonton, Alberta","","Both sexes","Non-seniors not in an economic family",,30.3
2015,"Manitoba","Total","Both sexes","Total",46,14.1
2015,"Manitoba","Under 18 years","Both sexes","Total",46,19.3
2015,"Manitoba","18 to 64 years","Both sexes","Total",46,14.2
2015,"Manitoba","65 years and over","Both sexes","Total",46,5.9
2015,"Manitoba","Total","Both sexes","Persons in economic families",46,11.7
2015,"Manitoba","65 years and over","Both sexes","Seniors in economic families",46,2
2015,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,19.2
2015,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,13.8
2015,"Manitoba","Under 18 years","Both sexes","Persons in all other economic families",46,36.6
2015,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,10.5
2015,"Manitoba","Total","Both sexes","Persons not in an economic family",46,27.7
2015,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,15.5
2015,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,32.7
2016,"Manitoba","Total","Both sexes","Total",46,12.4
2016,"Manitoba","Under 18 years","Both sexes","Total",46,15.5
2016,"Manitoba","18 to 64 years","Both sexes","Total",46,13.1
2016,"Manitoba","65 years and over","Both sexes","Total",46,4.9
2016,"Manitoba","Total","Both sexes","Persons in economic families",46,10
2016,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,15.5
2016,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,12.1
2016,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,9.2
2016,"Manitoba","Total","Both sexes","Persons not in an economic family",46,26.1
2016,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,10.5
2016,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,33.7
2017,"Manitoba","Total","Both sexes","Total",46,11.2
2017,"Manitoba","Under 18 years","Both sexes","Total",46,12.8
2017,"Manitoba","18 to 64 years","Both sexes","Total",46,12.1
2017,"Manitoba","65 years and over","Both sexes","Total",46,5.4
2017,"Manitoba","Total","Both sexes","Persons in economic families",46,8.4
2017,"Manitoba","65 years and over","Both sexes","Seniors in economic families",46,2.8
2017,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,12.8
2017,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,9.7
2017,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,7.6
2017,"Manitoba","Total","Both sexes","Persons not in an economic family",46,27.8
2017,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,11.5
2017,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,35.2
2018,"Manitoba","Total","Both sexes","Total",46,11.2
2018,"Manitoba","Under 18 years","Both sexes","Total",46,13
2018,"Manitoba","18 to 64 years","Both sexes","Total",46,11.8
2018,"Manitoba","65 years and over","Both sexes","Total",46,6.1
2018,"Manitoba","Total","Both sexes","Persons in economic families",46,8.1
2018,"Manitoba","65 years and over","Both sexes","Seniors in economic families",46,3.1
2018,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,12.7
2018,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,9.3
2018,"Manitoba","Under 18 years","Both sexes","Persons in all other economic families",46,22.7
2018,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,7.2
2018,"Manitoba","Total","Both sexes","Persons not in an economic family",46,28.4
2018,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,13.5
2018,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,34.7
2019,"Manitoba","Total","Both sexes","Total",46,11.7
2019,"Manitoba","Under 18 years","Both sexes","Total",46,13.7
2019,"Manitoba","18 to 64 years","Both sexes","Total",46,12.6
2019,"Manitoba","65 years and over","Both sexes","Total",46,5.6
2019,"Manitoba","Total","Both sexes","Persons in economic families",46,8.3
2019,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,13.7
2019,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,10.6
2019,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,7.4
2019,"Manitoba","Total","Both sexes","Persons not in an economic family",46,30.1
2019,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,14.1
2019,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,36.8
2020,"Manitoba","Total","Both sexes","Total",46,7
2020,"Manitoba","Under 18 years","Both sexes","Total",46,5.9
2020,"Manitoba","18 to 64 years","Both sexes","Total",46,8.5
2020,"Manitoba","65 years and over","Both sexes","Total",46,2.3
2020,"Manitoba","Total","Both sexes","Persons in economic families",46,4.6
2020,"Manitoba","65 years and over","Both sexes","Seniors in economic families",46,0.9
2020,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,5.8
2020,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,4.1
2020,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,5
2020,"Manitoba","Total","Both sexes","Persons not in an economic family",46,19.6
2020,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,5.8
2020,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,25.7
2021,"Manitoba","Total","Both sexes","Total",46,9
2021,"Manitoba","Under 18 years","Both sexes","Total",46,9
2021,"Manitoba","18 to 64 years","Both sexes","Total",46,9.8
2021,"Manitoba","65 years and over","Both sexes","Total",46,5.7
