"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2021,"Manitoba","Total","Both sexes","Persons in economic families",46,6
2021,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,9
2021,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,4.9
2021,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,5.7
2021,"Manitoba","Total","Both sexes","Persons not in an economic family",46,25
2021,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,16.4
2021,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,29.1
2022,"Manitoba","Total","Both sexes","Total",46,11.4
2022,"Manitoba","Under 18 years","Both sexes","Total",46,12.9
2022,"Manitoba","18 to 64 years","Both sexes","Total",46,12.2
2022,"Manitoba","65 years and over","Both sexes","Total",46,6.6
2022,"Manitoba","Total","Both sexes","Persons in economic families",46,8.5
2022,"Manitoba","65 years and over","Both sexes","Seniors in economic families",46,3.4
2022,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,12.7
2022,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,8.5
2022,"Manitoba","Under 18 years","Both sexes","Persons in all other economic families",46,19.7
2022,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,8
2022,"Manitoba","Total","Both sexes","Persons not in an economic family",46,26.5
2022,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,14.2
2022,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,32.2
2023,"Manitoba","Total","Both sexes","Total",46,10.6
2023,"Manitoba","Under 18 years","Both sexes","Total",46,12.5
2023,"Manitoba","18 to 64 years","Both sexes","Total",46,11.6
2023,"Manitoba","65 years and over","Both sexes","Total",46,4.8
2023,"Manitoba","Total","Both sexes","Persons in economic families",46,7.9
2023,"Manitoba","65 years and over","Both sexes","Seniors in economic families",46,2.7
2023,"Manitoba","Under 18 years","Both sexes","Persons in economic families",46,12.5
2023,"Manitoba","Under 18 years","Both sexes","Persons in couple families with children",46,9.1
2023,"Manitoba","Under 18 years","Both sexes","Persons in all other economic families",46,6.4
2023,"Manitoba","18 to 64 years","Both sexes","Persons in economic families",46,7.2
2023,"Manitoba","Total","Both sexes","Persons not in an economic family",46,24.8
2023,"Manitoba","65 years and over","Both sexes","Seniors not in an economic family",46,9.7
2023,"Manitoba","","Both sexes","Non-seniors not in an economic family",46,31.8
2015,"Montréal, Quebec","Total","Both sexes","Total",,17.2
2015,"Montréal, Quebec","Under 18 years","Both sexes","Total",,19.3
2015,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,18.9
2015,"Montréal, Quebec","65 years and over","Both sexes","Total",,7.2
2015,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,13.8
2015,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,19.3
2015,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,17.1
2015,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,13.8
2015,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,32.3
2015,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,15.3
2015,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,37.9
2016,"Montréal, Quebec","Total","Both sexes","Total",,13.2
2016,"Montréal, Quebec","Under 18 years","Both sexes","Total",,13.6
2016,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,13.9
2016,"Montréal, Quebec","65 years and over","Both sexes","Total",,9.7
2016,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,9.1
