Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2026,Prince Edward Island,Total electric charging and alternative fuelling stations,11,207
2026,Prince Edward Island,Electric,11,205
2010,Quebec,Total electric charging and alternative fuelling stations,24,9
2010,Quebec,Electric,24,2
2012,Quebec,Total electric charging and alternative fuelling stations,24,15
2012,Quebec,Electric,24,8
2013,Quebec,Total electric charging and alternative fuelling stations,24,32
2013,Quebec,Compressed natural gas,24,2
2013,Quebec,Electric,24,23
2014,Quebec,Total electric charging and alternative fuelling stations,24,65
2014,Quebec,Electric,24,55
2014,Quebec,Propane,24,8
2015,Quebec,Total electric charging and alternative fuelling stations,24,152
2015,Quebec,Compressed natural gas,24,3
2015,Quebec,Electric,24,134
2015,Quebec,Propane,24,15
2016,Quebec,Total electric charging and alternative fuelling stations,24,242
2016,Quebec,Electric,24,223
2016,Quebec,Propane,24,16
2017,Quebec,Total electric charging and alternative fuelling stations,24,425
2017,Quebec,Compressed natural gas,24,4
2017,Quebec,Electric,24,283
2017,Quebec,Propane,24,138
2018,Quebec,Total electric charging and alternative fuelling stations,24,457
2018,Quebec,Compressed natural gas,24,5
2018,Quebec,Electric,24,309
2018,Quebec,Hydrogen,24,1
2018,Quebec,Propane,24,142
2019,Quebec,Total electric charging and alternative fuelling stations,24,1837
2019,Quebec,Compressed natural gas,24,7
2019,Quebec,Electric,24,1683
2019,Quebec,Propane,24,146
2020,Quebec,Total electric charging and alternative fuelling stations,24,2171
2020,Quebec,Electric,24,2017
2021,Quebec,Total electric charging and alternative fuelling stations,24,2518
2021,Quebec,Electric,24,2362
2021,Quebec,Propane,24,148
2022,Quebec,Total electric charging and alternative fuelling stations,24,3018
2022,Quebec,Compressed natural gas,24,8
2022,Quebec,Electric,24,2861
2023,Quebec,Total electric charging and alternative fuelling stations,24,3740
2023,Quebec,Compressed natural gas,24,9
2023,Quebec,Electric,24,3581
2023,Quebec,Propane,24,149
2024,Quebec,Total electric charging and alternative fuelling stations,24,4413
2024,Quebec,Electric,24,4253
2024,Quebec,Propane,24,150
2025,Quebec,Total electric charging and alternative fuelling stations,24,5100
2025,Quebec,Compressed natural gas,24,10
2025,Quebec,Electric,24,4938
2025,Quebec,Propane,24,151
2026,Quebec,Total electric charging and alternative fuelling stations,24,5371
2026,Quebec,Electric,24,5209
2014,Saskatchewan,Total electric charging and alternative fuelling stations,47,8
2014,Saskatchewan,Electric,47,3
2014,Saskatchewan,Propane,47,5
2015,Saskatchewan,Total electric charging and alternative fuelling stations,47,16
2015,Saskatchewan,Electric,47,10
2015,Saskatchewan,Propane,47,6
2016,Saskatchewan,Total electric charging and alternative fuelling stations,47,20
2016,Saskatchewan,Electric,47,14
2017,Saskatchewan,Total electric charging and alternative fuelling stations,47,24
2017,Saskatchewan,Electric,47,18
2018,Saskatchewan,Total electric charging and alternative fuelling stations,47,91
2018,Saskatchewan,Electric,47,19
2018,Saskatchewan,Propane,47,72
2019,Saskatchewan,Total electric charging and alternative fuelling stations,47,103
2019,Saskatchewan,Electric,47,29
2019,Saskatchewan,Propane,47,74
2021,Saskatchewan,Total electric charging and alternative fuelling stations,47,120
2021,Saskatchewan,Electric,47,46
2022,Saskatchewan,Total electric charging and alternative fuelling stations,47,156
2022,Saskatchewan,Electric,47,82
2023,Saskatchewan,Total electric charging and alternative fuelling stations,47,197
2023,Saskatchewan,Electric,47,123
2024,Saskatchewan,Total electric charging and alternative fuelling stations,47,233
2024,Saskatchewan,Electric,47,159
2025,Saskatchewan,Total electric charging and alternative fuelling stations,47,271
2025,Saskatchewan,Electric,47,197
2026,Saskatchewan,Total electric charging and alternative fuelling stations,47,284
2026,Saskatchewan,Electric,47,210
2019,Yukon,Total electric charging and alternative fuelling stations,60,4
2019,Yukon,Electric,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Total electric charging and alternative fuelling stations,60,7
2020,Yukon,Electric,60,5
2022,Yukon,Total electric charging and alternative fuelling stations,60,13
2022,Yukon,Electric,60,11
2023,Yukon,Total electric charging and alternative fuelling stations,60,24
2023,Yukon,Electric,60,22
2024,Yukon,Total electric charging and alternative fuelling stations,60,28
2024,Yukon,Electric,60,26
2025,Yukon,Total electric charging and alternative fuelling stations,60,36
2025,Yukon,Electric,60,34
2026,Yukon,Total electric charging and alternative fuelling stations,60,37
2026,Yukon,Electric,60,35
