Year,Géographie,data.Type of materials diverted,data.Sources of materials prepared for recycling,Value
2018,Île-du-Prince-Édouard,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Textiles,data.All sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Textiles,data.Residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Textiles,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Tires,data.All sources of diverted materials,15.34590211
2018,Île-du-Prince-Édouard,data.Tires,data.Residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Tires,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Construction + renovation and demolition,data.All sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Construction + renovation and demolition,data.Residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Organics,data.All sources of diverted materials,133.2824845
2018,Île-du-Prince-Édouard,data.Organics,data.Residential sources of diverted materials,105.0614097
2018,Île-du-Prince-Édouard,data.Organics,data.Non-residential sources of diverted materials,28.22107487
2018,Île-du-Prince-Édouard,data.Other materials,data.All sources of diverted materials,2.183890062
2018,Île-du-Prince-Édouard,data.Other materials,data.Residential sources of diverted materials,0.827922501
2018,Île-du-Prince-Édouard,data.Other materials,data.Non-residential sources of diverted materials,1.355967561
2018,Nouvelle-Écosse,data.All materials diverted,data.All sources of diverted materials,330.4319881
2018,Nouvelle-Écosse,data.All materials diverted,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.All paper fibres,data.All sources of diverted materials,76.65018792
2018,Nouvelle-Écosse,data.All paper fibres,data.Residential sources of diverted materials,41.59928047
2018,Nouvelle-Écosse,data.All paper fibres,data.Non-residential sources of diverted materials,35.05090744
2018,Nouvelle-Écosse,data.Glass,data.All sources of diverted materials,4.365582018
2018,Nouvelle-Écosse,data.Glass,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Glass,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Ferrous metals,data.All sources of diverted materials,5.776257661
2018,Nouvelle-Écosse,data.Ferrous metals,data.Residential sources of diverted materials,5.35055081
2018,Nouvelle-Écosse,data.Ferrous metals,data.Non-residential sources of diverted materials,0.425706851
2018,Nouvelle-Écosse,data.Copper and aluminum,data.All sources of diverted materials,0.474746611
2018,Nouvelle-Écosse,data.Copper and aluminum,data.Residential sources of diverted materials,0.442401237
2018,Nouvelle-Écosse,data.Copper and aluminum,data.Non-residential sources of diverted materials,0.032345373
2018,Nouvelle-Écosse,data.Mixed metals,data.All sources of diverted materials,
2018,Nouvelle-Écosse,data.Mixed metals,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Mixed metals,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.White goods,data.All sources of diverted materials,1.143565462
2018,Nouvelle-Écosse,data.White goods,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.White goods,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Electronics,data.All sources of diverted materials,3.306531887
2018,Nouvelle-Écosse,data.Electronics,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Electronics,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Plastics,data.All sources of diverted materials,15.67289854
2018,Nouvelle-Écosse,data.Plastics,data.Residential sources of diverted materials,11.19045582
2018,Nouvelle-Écosse,data.Plastics,data.Non-residential sources of diverted materials,4.482442723
2018,Nouvelle-Écosse,data.Gable top and aseptic containers,data.All sources of diverted materials,1.099742698
2018,Nouvelle-Écosse,data.Gable top and aseptic containers,data.Residential sources of diverted materials,1.014183968
2018,Nouvelle-Écosse,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,0.08555873
2018,Nouvelle-Écosse,data.Textiles,data.All sources of diverted materials,
2018,Nouvelle-Écosse,data.Textiles,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Textiles,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Tires,data.All sources of diverted materials,14.89139258
2018,Nouvelle-Écosse,data.Tires,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Tires,data.Non-residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Construction + renovation and demolition,data.All sources of diverted materials,51.74633715
2018,Nouvelle-Écosse,data.Construction + renovation and demolition,data.Residential sources of diverted materials,5.484105901
2018,Nouvelle-Écosse,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,46.26327465
2018,Nouvelle-Écosse,data.Organics,data.All sources of diverted materials,154.7861762
2018,Nouvelle-Écosse,data.Organics,data.Residential sources of diverted materials,101.4131798
2018,Nouvelle-Écosse,data.Organics,data.Non-residential sources of diverted materials,53.37299641
2018,Nouvelle-Écosse,data.Other materials,data.All sources of diverted materials,
2018,Nouvelle-Écosse,data.Other materials,data.Residential sources of diverted materials,
2018,Nouvelle-Écosse,data.Other materials,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.All materials diverted,data.All sources of diverted materials,212.5662566
2018,Nouveau-Brunswick,data.All materials diverted,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.All paper fibres,data.All sources of diverted materials,36.5052103
2018,Nouveau-Brunswick,data.All paper fibres,data.Residential sources of diverted materials,21.3734631
2018,Nouveau-Brunswick,data.All paper fibres,data.Non-residential sources of diverted materials,15.1317472
2018,Nouveau-Brunswick,data.Glass,data.All sources of diverted materials,5.717245596
2018,Nouveau-Brunswick,data.Glass,data.Residential sources of diverted materials,2.881990287
2018,Nouveau-Brunswick,data.Glass,data.Non-residential sources of diverted materials,2.835255309
2018,Nouveau-Brunswick,data.Ferrous metals,data.All sources of diverted materials,1.971956417
2018,Nouveau-Brunswick,data.Ferrous metals,data.Residential sources of diverted materials,1.429311399
2018,Nouveau-Brunswick,data.Ferrous metals,data.Non-residential sources of diverted materials,0.542645018
2018,Nouveau-Brunswick,data.Copper and aluminum,data.All sources of diverted materials,2.802800464
2018,Nouveau-Brunswick,data.Copper and aluminum,data.Residential sources of diverted materials,2.610667778
2018,Nouveau-Brunswick,data.Copper and aluminum,data.Non-residential sources of diverted materials,0.192132686
2018,Nouveau-Brunswick,data.Mixed metals,data.All sources of diverted materials,0.802283783
2018,Nouveau-Brunswick,data.Mixed metals,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Mixed metals,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.White goods,data.All sources of diverted materials,0.173957972
2018,Nouveau-Brunswick,data.White goods,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.White goods,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Electronics,data.All sources of diverted materials,1.117744882
2018,Nouveau-Brunswick,data.Electronics,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Electronics,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Plastics,data.All sources of diverted materials,7.110207568
2018,Nouveau-Brunswick,data.Plastics,data.Residential sources of diverted materials,4.067241247
2018,Nouveau-Brunswick,data.Plastics,data.Non-residential sources of diverted materials,3.042966321
2018,Nouveau-Brunswick,data.Gable top and aseptic containers,data.All sources of diverted materials,0.614045678
2018,Nouveau-Brunswick,data.Gable top and aseptic containers,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Textiles,data.All sources of diverted materials,
2018,Nouveau-Brunswick,data.Textiles,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Textiles,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Tires,data.All sources of diverted materials,14.07891201
2018,Nouveau-Brunswick,data.Tires,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Tires,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Construction + renovation and demolition,data.All sources of diverted materials,14.04126439
2018,Nouveau-Brunswick,data.Construction + renovation and demolition,data.Residential sources of diverted materials,0.830844047
2018,Nouveau-Brunswick,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,13.21042034
2018,Nouveau-Brunswick,data.Organics,data.All sources of diverted materials,122.3690479
2018,Nouveau-Brunswick,data.Organics,data.Residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Organics,data.Non-residential sources of diverted materials,
2018,Nouveau-Brunswick,data.Other materials,data.All sources of diverted materials,5.261579564
2018,Nouveau-Brunswick,data.Other materials,data.Residential sources of diverted materials,4.789037013
2018,Nouveau-Brunswick,data.Other materials,data.Non-residential sources of diverted materials,0.472542552
2018,Québec,data.All materials diverted,data.All sources of diverted materials,330.6603943
2018,Québec,data.All materials diverted,data.Residential sources of diverted materials,
2018,Québec,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Québec,data.All paper fibres,data.All sources of diverted materials,130.9252919
2018,Québec,data.All paper fibres,data.Residential sources of diverted materials,62.72511711
2018,Québec,data.All paper fibres,data.Non-residential sources of diverted materials,68.20017477
2018,Québec,data.Glass,data.All sources of diverted materials,6.229068319
2018,Québec,data.Glass,data.Residential sources of diverted materials,5.356034668
2018,Québec,data.Glass,data.Non-residential sources of diverted materials,0.873033651
2018,Québec,data.Ferrous metals,data.All sources of diverted materials,37.63507027
2018,Québec,data.Ferrous metals,data.Residential sources of diverted materials,4.641896712
2018,Québec,data.Ferrous metals,data.Non-residential sources of diverted materials,32.99317356
2018,Québec,data.Copper and aluminum,data.All sources of diverted materials,6.284414011
2018,Québec,data.Copper and aluminum,data.Residential sources of diverted materials,
2018,Québec,data.Copper and aluminum,data.Non-residential sources of diverted materials,6.284414011
2018,Québec,data.Mixed metals,data.All sources of diverted materials,
