Year,Géographie,data.Asset,Value
2018,Île-du-Prince-Édouard,data.Total assets,0.4025
2019,Île-du-Prince-Édouard,data.Total assets,0.4076
2020,Île-du-Prince-Édouard,data.Total assets,0.4083
2015,Île-du-Prince-Édouard,data.Commercial buildings,0.3752
2016,Île-du-Prince-Édouard,data.Commercial buildings,0.3731
2017,Île-du-Prince-Édouard,data.Commercial buildings,0.3781
2018,Île-du-Prince-Édouard,data.Commercial buildings,0.3787
2019,Île-du-Prince-Édouard,data.Commercial buildings,0.378
2020,Île-du-Prince-Édouard,data.Commercial buildings,0.3779
2015,Île-du-Prince-Édouard,data.Institutional buildings,0.3757
2016,Île-du-Prince-Édouard,data.Institutional buildings,0.3737
2017,Île-du-Prince-Édouard,data.Institutional buildings,0.3792
2018,Île-du-Prince-Édouard,data.Institutional buildings,0.3791
2019,Île-du-Prince-Édouard,data.Institutional buildings,0.379
2020,Île-du-Prince-Édouard,data.Institutional buildings,0.379
2015,Île-du-Prince-Édouard,data.Marine engineering infrastructure,0.368
2016,Île-du-Prince-Édouard,data.Marine engineering infrastructure,0.3649
2017,Île-du-Prince-Édouard,data.Marine engineering infrastructure,0.3625
2018,Île-du-Prince-Édouard,data.Marine engineering infrastructure,0.3627
2019,Île-du-Prince-Édouard,data.Marine engineering infrastructure,0.3627
2020,Île-du-Prince-Édouard,data.Marine engineering infrastructure,0.3626
2015,Île-du-Prince-Édouard,data.Transportation engineering infrastructure,0.4347
2016,Île-du-Prince-Édouard,data.Transportation engineering infrastructure,0.4372
2017,Île-du-Prince-Édouard,data.Transportation engineering infrastructure,0.4349
2018,Île-du-Prince-Édouard,data.Transportation engineering infrastructure,0.4349
2019,Île-du-Prince-Édouard,data.Transportation engineering infrastructure,0.435
2020,Île-du-Prince-Édouard,data.Transportation engineering infrastructure,0.435
2015,Île-du-Prince-Édouard,data.Waterworks infrastructure,0.3677
2016,Île-du-Prince-Édouard,data.Waterworks infrastructure,0.3649
2017,Île-du-Prince-Édouard,data.Waterworks infrastructure,0.3626
2018,Île-du-Prince-Édouard,data.Waterworks infrastructure,0.3613
2019,Île-du-Prince-Édouard,data.Waterworks infrastructure,0.3582
2020,Île-du-Prince-Édouard,data.Waterworks infrastructure,0.3583
2015,Île-du-Prince-Édouard,data.Sewage infrastructure,0.3684
2016,Île-du-Prince-Édouard,data.Sewage infrastructure,0.3649
2017,Île-du-Prince-Édouard,data.Sewage infrastructure,0.3626
2018,Île-du-Prince-Édouard,data.Sewage infrastructure,0.3623
2019,Île-du-Prince-Édouard,data.Sewage infrastructure,0.3617
2020,Île-du-Prince-Édouard,data.Sewage infrastructure,0.3615
2015,Île-du-Prince-Édouard,data.Communications networks,0.4005
2016,Île-du-Prince-Édouard,data.Communications networks,0.3711
2017,Île-du-Prince-Édouard,data.Communications networks,0.3707
2018,Île-du-Prince-Édouard,data.Communications networks,0.3707
2019,Île-du-Prince-Édouard,data.Communications networks,0.3708
2020,Île-du-Prince-Édouard,data.Communications networks,0.3708
2015,Île-du-Prince-Édouard,data.Electric power infrastructure,0.351
2016,Île-du-Prince-Édouard,data.Electric power infrastructure,0.3732
2017,Île-du-Prince-Édouard,data.Electric power infrastructure,0.3724
2018,Île-du-Prince-Édouard,data.Electric power infrastructure,0.3723
2019,Île-du-Prince-Édouard,data.Electric power infrastructure,0.3724
2020,Île-du-Prince-Édouard,data.Electric power infrastructure,0.3724
2015,Île-du-Prince-Édouard,data.Oil and gas engineering construction,0.409
2016,Île-du-Prince-Édouard,data.Oil and gas engineering construction,0.4076
2017,Île-du-Prince-Édouard,data.Oil and gas engineering construction,0.415
2018,Île-du-Prince-Édouard,data.Oil and gas engineering construction,0.431
2019,Île-du-Prince-Édouard,data.Oil and gas engineering construction,0.4299
2020,Île-du-Prince-Édouard,data.Oil and gas engineering construction,0.2285
2015,Île-du-Prince-Édouard,data.Other engineering construction,0.3676
2016,Île-du-Prince-Édouard,data.Other engineering construction,0.3501
2017,Île-du-Prince-Édouard,data.Other engineering construction,0.3622
2018,Île-du-Prince-Édouard,data.Other engineering construction,0.3623
2019,Île-du-Prince-Édouard,data.Other engineering construction,0.3626
2020,Île-du-Prince-Édouard,data.Other engineering construction,0.3625
2015,Île-du-Prince-Édouard,data.Other machinery and equipment,0.6893
2016,Île-du-Prince-Édouard,data.Other machinery and equipment,0.6697
2017,Île-du-Prince-Édouard,data.Other machinery and equipment,0.671
2018,Île-du-Prince-Édouard,data.Other machinery and equipment,0.6709
2019,Île-du-Prince-Édouard,data.Other machinery and equipment,0.6701
2020,Île-du-Prince-Édouard,data.Other machinery and equipment,0.6714
2015,Île-du-Prince-Édouard,data.Transportation machinery and equipment,0.6955
2016,Île-du-Prince-Édouard,data.Transportation machinery and equipment,0.6587
2017,Île-du-Prince-Édouard,data.Transportation machinery and equipment,0.6514
2018,Île-du-Prince-Édouard,data.Transportation machinery and equipment,0.6513
2019,Île-du-Prince-Édouard,data.Transportation machinery and equipment,0.6511
2020,Île-du-Prince-Édouard,data.Transportation machinery and equipment,0.6514
2015,Nouvelle-Écosse,data.Total assets,0.3681
2016,Nouvelle-Écosse,data.Total assets,0.3701
2017,Nouvelle-Écosse,data.Total assets,0.3669
2018,Nouvelle-Écosse,data.Total assets,0.3683
2019,Nouvelle-Écosse,data.Total assets,0.3696
2020,Nouvelle-Écosse,data.Total assets,0.37
2015,Nouvelle-Écosse,data.Commercial buildings,0.3956
2016,Nouvelle-Écosse,data.Commercial buildings,0.3954
2017,Nouvelle-Écosse,data.Commercial buildings,0.3951
2018,Nouvelle-Écosse,data.Commercial buildings,0.3951
2019,Nouvelle-Écosse,data.Commercial buildings,0.3951
2020,Nouvelle-Écosse,data.Commercial buildings,0.3951
2015,Nouvelle-Écosse,data.Institutional buildings,0.3956
2016,Nouvelle-Écosse,data.Institutional buildings,0.3954
2017,Nouvelle-Écosse,data.Institutional buildings,0.3951
2018,Nouvelle-Écosse,data.Institutional buildings,0.3951
2019,Nouvelle-Écosse,data.Institutional buildings,0.3951
2020,Nouvelle-Écosse,data.Institutional buildings,0.3951
2015,Nouvelle-Écosse,data.Marine engineering infrastructure,0.3203
2016,Nouvelle-Écosse,data.Marine engineering infrastructure,0.3279
2017,Nouvelle-Écosse,data.Marine engineering infrastructure,0.3267
2018,Nouvelle-Écosse,data.Marine engineering infrastructure,0.3267
2019,Nouvelle-Écosse,data.Marine engineering infrastructure,0.3267
2020,Nouvelle-Écosse,data.Marine engineering infrastructure,0.3267
2015,Nouvelle-Écosse,data.Transportation engineering infrastructure,0.3641
2016,Nouvelle-Écosse,data.Transportation engineering infrastructure,0.3686
2017,Nouvelle-Écosse,data.Transportation engineering infrastructure,0.3666
2018,Nouvelle-Écosse,data.Transportation engineering infrastructure,0.3666
2019,Nouvelle-Écosse,data.Transportation engineering infrastructure,0.3666
2020,Nouvelle-Écosse,data.Transportation engineering infrastructure,0.3666
2015,Nouvelle-Écosse,data.Waterworks infrastructure,0.3203
2016,Nouvelle-Écosse,data.Waterworks infrastructure,0.3279
2017,Nouvelle-Écosse,data.Waterworks infrastructure,0.3267
2018,Nouvelle-Écosse,data.Waterworks infrastructure,0.3267
2019,Nouvelle-Écosse,data.Waterworks infrastructure,0.3267
2020,Nouvelle-Écosse,data.Waterworks infrastructure,0.3267
2015,Nouvelle-Écosse,data.Sewage infrastructure,0.3203
2016,Nouvelle-Écosse,data.Sewage infrastructure,0.3279
2017,Nouvelle-Écosse,data.Sewage infrastructure,0.3268
2018,Nouvelle-Écosse,data.Sewage infrastructure,0.3267
2019,Nouvelle-Écosse,data.Sewage infrastructure,0.3267
2020,Nouvelle-Écosse,data.Sewage infrastructure,0.3267
2015,Nouvelle-Écosse,data.Communications networks,0.353
2016,Nouvelle-Écosse,data.Communications networks,0.3548
2017,Nouvelle-Écosse,data.Communications networks,0.3511
2018,Nouvelle-Écosse,data.Communications networks,0.3511
2019,Nouvelle-Écosse,data.Communications networks,0.3511
2020,Nouvelle-Écosse,data.Communications networks,0.3511
2015,Nouvelle-Écosse,data.Electric power infrastructure,0.365
2016,Nouvelle-Écosse,data.Electric power infrastructure,0.3684
2017,Nouvelle-Écosse,data.Electric power infrastructure,0.3656
2018,Nouvelle-Écosse,data.Electric power infrastructure,0.3656
2019,Nouvelle-Écosse,data.Electric power infrastructure,0.3656
2020,Nouvelle-Écosse,data.Electric power infrastructure,0.3656
2015,Nouvelle-Écosse,data.Oil and gas engineering construction,0.3254
2016,Nouvelle-Écosse,data.Oil and gas engineering construction,0.326
2017,Nouvelle-Écosse,data.Oil and gas engineering construction,0.3221
2018,Nouvelle-Écosse,data.Oil and gas engineering construction,0.3216
2019,Nouvelle-Écosse,data.Oil and gas engineering construction,0.3211
2020,Nouvelle-Écosse,data.Oil and gas engineering construction,0.3208
2015,Nouvelle-Écosse,data.Other engineering construction,0.3203
2016,Nouvelle-Écosse,data.Other engineering construction,0.3278
2017,Nouvelle-Écosse,data.Other engineering construction,0.3266
2018,Nouvelle-Écosse,data.Other engineering construction,0.3267
2019,Nouvelle-Écosse,data.Other engineering construction,0.3268
2020,Nouvelle-Écosse,data.Other engineering construction,0.3266
2015,Nouvelle-Écosse,data.Other machinery and equipment,0.6785
2016,Nouvelle-Écosse,data.Other machinery and equipment,0.6545
2017,Nouvelle-Écosse,data.Other machinery and equipment,0.6578
2018,Nouvelle-Écosse,data.Other machinery and equipment,0.6516
2019,Nouvelle-Écosse,data.Other machinery and equipment,0.6519
2020,Nouvelle-Écosse,data.Other machinery and equipment,0.6516
2015,Nouvelle-Écosse,data.Transportation machinery and equipment,0.663
2016,Nouvelle-Écosse,data.Transportation machinery and equipment,0.6543
2017,Nouvelle-Écosse,data.Transportation machinery and equipment,0.6491
2018,Nouvelle-Écosse,data.Transportation machinery and equipment,0.6493
2019,Nouvelle-Écosse,data.Transportation machinery and equipment,0.6494
2020,Nouvelle-Écosse,data.Transportation machinery and equipment,0.6492
2015,Nouveau-Brunswick,data.Total assets,0.365
2016,Nouveau-Brunswick,data.Total assets,0.3607
2017,Nouveau-Brunswick,data.Total assets,0.3665
2018,Nouveau-Brunswick,data.Total assets,0.3656
2019,Nouveau-Brunswick,data.Total assets,0.3657
2020,Nouveau-Brunswick,data.Total assets,0.3655
2015,Nouveau-Brunswick,data.Commercial buildings,0.3764
2016,Nouveau-Brunswick,data.Commercial buildings,0.3745
2017,Nouveau-Brunswick,data.Commercial buildings,0.3789
2018,Nouveau-Brunswick,data.Commercial buildings,0.3789
2019,Nouveau-Brunswick,data.Commercial buildings,0.3789
2020,Nouveau-Brunswick,data.Commercial buildings,0.3789
2015,Nouveau-Brunswick,data.Institutional buildings,0.3764
2016,Nouveau-Brunswick,data.Institutional buildings,0.3746
2017,Nouveau-Brunswick,data.Institutional buildings,0.3789
2018,Nouveau-Brunswick,data.Institutional buildings,0.3789
2019,Nouveau-Brunswick,data.Institutional buildings,0.3789
2020,Nouveau-Brunswick,data.Institutional buildings,0.3789
2015,Nouveau-Brunswick,data.Marine engineering infrastructure,0.4017
2016,Nouveau-Brunswick,data.Marine engineering infrastructure,0.3928
2017,Nouveau-Brunswick,data.Marine engineering infrastructure,0.3924
2018,Nouveau-Brunswick,data.Marine engineering infrastructure,0.3925
2019,Nouveau-Brunswick,data.Marine engineering infrastructure,0.3925
2020,Nouveau-Brunswick,data.Marine engineering infrastructure,0.3925
2015,Nouveau-Brunswick,data.Transportation engineering infrastructure,0.3588
2016,Nouveau-Brunswick,data.Transportation engineering infrastructure,0.3535
2017,Nouveau-Brunswick,data.Transportation engineering infrastructure,0.3546
2018,Nouveau-Brunswick,data.Transportation engineering infrastructure,0.3547
2019,Nouveau-Brunswick,data.Transportation engineering infrastructure,0.3546
2020,Nouveau-Brunswick,data.Transportation engineering infrastructure,0.3546
2015,Nouveau-Brunswick,data.Waterworks infrastructure,0.4024
2016,Nouveau-Brunswick,data.Waterworks infrastructure,0.3929
2017,Nouveau-Brunswick,data.Waterworks infrastructure,0.3925
2018,Nouveau-Brunswick,data.Waterworks infrastructure,0.3925
2019,Nouveau-Brunswick,data.Waterworks infrastructure,0.3925
2020,Nouveau-Brunswick,data.Waterworks infrastructure,0.3925
2015,Nouveau-Brunswick,data.Sewage infrastructure,0.4023
2016,Nouveau-Brunswick,data.Sewage infrastructure,0.3929
2017,Nouveau-Brunswick,data.Sewage infrastructure,0.3925
2018,Nouveau-Brunswick,data.Sewage infrastructure,0.3925
2019,Nouveau-Brunswick,data.Sewage infrastructure,0.3925
2020,Nouveau-Brunswick,data.Sewage infrastructure,0.3925
2015,Nouveau-Brunswick,data.Communications networks,0.3657
2016,Nouveau-Brunswick,data.Communications networks,0.3598
2017,Nouveau-Brunswick,data.Communications networks,0.3632
2018,Nouveau-Brunswick,data.Communications networks,0.3632
2019,Nouveau-Brunswick,data.Communications networks,0.3632
2020,Nouveau-Brunswick,data.Communications networks,0.3632
2015,Nouveau-Brunswick,data.Electric power infrastructure,0.3375
2016,Nouveau-Brunswick,data.Electric power infrastructure,0.3388
2017,Nouveau-Brunswick,data.Electric power infrastructure,0.3386
2018,Nouveau-Brunswick,data.Electric power infrastructure,0.3386
2019,Nouveau-Brunswick,data.Electric power infrastructure,0.3386
2020,Nouveau-Brunswick,data.Electric power infrastructure,0.3386
2015,Nouveau-Brunswick,data.Oil and gas engineering construction,0.3286
2016,Nouveau-Brunswick,data.Oil and gas engineering construction,0.3249
2017,Nouveau-Brunswick,data.Oil and gas engineering construction,0.3224
2018,Nouveau-Brunswick,data.Oil and gas engineering construction,0.3227
2019,Nouveau-Brunswick,data.Oil and gas engineering construction,0.3221
2020,Nouveau-Brunswick,data.Oil and gas engineering construction,0.322
2015,Nouveau-Brunswick,data.Other engineering construction,0.4022
2016,Nouveau-Brunswick,data.Other engineering construction,0.3926
2017,Nouveau-Brunswick,data.Other engineering construction,0.3924
2018,Nouveau-Brunswick,data.Other engineering construction,0.3924
2019,Nouveau-Brunswick,data.Other engineering construction,0.3924
2020,Nouveau-Brunswick,data.Other engineering construction,0.3922
2015,Nouveau-Brunswick,data.Other machinery and equipment,0.6981
2016,Nouveau-Brunswick,data.Other machinery and equipment,0.6739
2017,Nouveau-Brunswick,data.Other machinery and equipment,0.6705
2018,Nouveau-Brunswick,data.Other machinery and equipment,0.6717
2019,Nouveau-Brunswick,data.Other machinery and equipment,0.6721
2020,Nouveau-Brunswick,data.Other machinery and equipment,0.6712
2015,Nouveau-Brunswick,data.Transportation machinery and equipment,0.6896
2016,Nouveau-Brunswick,data.Transportation machinery and equipment,0.6567
2017,Nouveau-Brunswick,data.Transportation machinery and equipment,0.6611
2018,Nouveau-Brunswick,data.Transportation machinery and equipment,0.6614
2019,Nouveau-Brunswick,data.Transportation machinery and equipment,0.6617
2020,Nouveau-Brunswick,data.Transportation machinery and equipment,0.6611
2015,Québec,data.Total assets,0.3698
2016,Québec,data.Total assets,0.3702
2017,Québec,data.Total assets,0.371
2018,Québec,data.Total assets,0.3741
2019,Québec,data.Total assets,0.3729
2020,Québec,data.Total assets,0.3727
2015,Québec,data.Commercial buildings,0.3836
2016,Québec,data.Commercial buildings,0.3786
2017,Québec,data.Commercial buildings,0.3802
2018,Québec,data.Commercial buildings,0.3802
2019,Québec,data.Commercial buildings,0.3802
2020,Québec,data.Commercial buildings,0.3802
2015,Québec,data.Institutional buildings,0.3836
2016,Québec,data.Institutional buildings,0.3786
2017,Québec,data.Institutional buildings,0.3802
2018,Québec,data.Institutional buildings,0.3802
2019,Québec,data.Institutional buildings,0.3802
2020,Québec,data.Institutional buildings,0.3802
2015,Québec,data.Marine engineering infrastructure,0.3933
2016,Québec,data.Marine engineering infrastructure,0.3916
2017,Québec,data.Marine engineering infrastructure,0.393
2018,Québec,data.Marine engineering infrastructure,0.393
2019,Québec,data.Marine engineering infrastructure,0.393
2020,Québec,data.Marine engineering infrastructure,0.393
2015,Québec,data.Transportation engineering infrastructure,0.3712
2016,Québec,data.Transportation engineering infrastructure,0.3663
2017,Québec,data.Transportation engineering infrastructure,0.3667
2018,Québec,data.Transportation engineering infrastructure,0.3667
2019,Québec,data.Transportation engineering infrastructure,0.3667
2020,Québec,data.Transportation engineering infrastructure,0.3667
2015,Québec,data.Waterworks infrastructure,0.3933
2016,Québec,data.Waterworks infrastructure,0.3917
2017,Québec,data.Waterworks infrastructure,0.393
2018,Québec,data.Waterworks infrastructure,0.393
2019,Québec,data.Waterworks infrastructure,0.393
2020,Québec,data.Waterworks infrastructure,0.393
2015,Québec,data.Sewage infrastructure,0.3933
2016,Québec,data.Sewage infrastructure,0.3917
2017,Québec,data.Sewage infrastructure,0.393
2018,Québec,data.Sewage infrastructure,0.393
2019,Québec,data.Sewage infrastructure,0.393
2020,Québec,data.Sewage infrastructure,0.393
2015,Québec,data.Communications networks,0.3729
2016,Québec,data.Communications networks,0.3691
2017,Québec,data.Communications networks,0.3709
2018,Québec,data.Communications networks,0.3709
2019,Québec,data.Communications networks,0.3709
2020,Québec,data.Communications networks,0.3709
2015,Québec,data.Electric power infrastructure,0.3348
2016,Québec,data.Electric power infrastructure,0.3357
2017,Québec,data.Electric power infrastructure,0.3353
2018,Québec,data.Electric power infrastructure,0.3353
2019,Québec,data.Electric power infrastructure,0.3353
2020,Québec,data.Electric power infrastructure,0.3353
2015,Québec,data.Oil and gas engineering construction,0.3383
2016,Québec,data.Oil and gas engineering construction,0.3375
2017,Québec,data.Oil and gas engineering construction,0.3322
2018,Québec,data.Oil and gas engineering construction,0.3322
2019,Québec,data.Oil and gas engineering construction,0.3322
2020,Québec,data.Oil and gas engineering construction,0.3322
2015,Québec,data.Other engineering construction,0.3933
2016,Québec,data.Other engineering construction,0.3916
2017,Québec,data.Other engineering construction,0.393
2018,Québec,data.Other engineering construction,0.393
2019,Québec,data.Other engineering construction,0.393
2020,Québec,data.Other engineering construction,0.393
2015,Québec,data.Other machinery and equipment,0.6963
2016,Québec,data.Other machinery and equipment,0.667
2017,Québec,data.Other machinery and equipment,0.6665
2018,Québec,data.Other machinery and equipment,0.6653
2019,Québec,data.Other machinery and equipment,0.6655
2020,Québec,data.Other machinery and equipment,0.6662
2015,Québec,data.Transportation machinery and equipment,0.6788
2016,Québec,data.Transportation machinery and equipment,0.6418
2017,Québec,data.Transportation machinery and equipment,0.6385
2018,Québec,data.Transportation machinery and equipment,0.6385
2019,Québec,data.Transportation machinery and equipment,0.6385
2020,Québec,data.Transportation machinery and equipment,0.6385
2015,Ontario,data.Total assets,0.3906
2016,Ontario,data.Total assets,0.3881
2017,Ontario,data.Total assets,0.3879
