Year,Series,Groupe d'espèces,System,Value
1995,By species group,Indice des oiseaux,,17.98
1996,By species group,Indice des oiseaux,,17.32
1997,By species group,Indice des oiseaux,,16.44
1998,By species group,Indice des oiseaux,,15.4
1999,By species group,Indice des oiseaux,,14.2
2000,By species group,Indice des oiseaux,,12.93
2001,By species group,Indice des oiseaux,,12.11
2002,By species group,Indice des oiseaux,,11.12
2003,By species group,Indice des oiseaux,,10.34
2004,By species group,Indice des oiseaux,,10.53
2005,By species group,Indice des oiseaux,,11.11
2006,By species group,Indice des oiseaux,,11.57
2007,By species group,Indice des oiseaux,,11.36
2008,By species group,Indice des oiseaux,,10.53
2009,By species group,Indice des oiseaux,,9.55
2010,By species group,Indice des oiseaux,,8.89
2011,By species group,Indice des oiseaux,,8.59
2012,By species group,Indice des oiseaux,,8.25
2013,By species group,Indice des oiseaux,,7.56
2014,By species group,Indice des oiseaux,,6.74
2015,By species group,Indice des oiseaux,,6.08
2016,By species group,Indice des oiseaux,,5.73
2017,By species group,Indice des oiseaux,,5.67
2018,By species group,Indice des oiseaux,,5.79
1970,By species group,Indice des mammifères,,0.0
1971,By species group,Indice des mammifères,,-8.81
1972,By species group,Indice des mammifères,,-15.93
1973,By species group,Indice des mammifères,,-21.93
1974,By species group,Indice des mammifères,,-30.66
1975,By species group,Indice des mammifères,,-35.58
1976,By species group,Indice des mammifères,,-37.31
1977,By species group,Indice des mammifères,,-37.22
1978,By species group,Indice des mammifères,,-34.21
1979,By species group,Indice des mammifères,,-31.6
1980,By species group,Indice des mammifères,,-28.08
1981,By species group,Indice des mammifères,,-24.41
1982,By species group,Indice des mammifères,,-25.55
1983,By species group,Indice des mammifères,,-27.3
1984,By species group,Indice des mammifères,,-28.47
1985,By species group,Indice des mammifères,,-29.85
1986,By species group,Indice des mammifères,,-31.0
1987,By species group,Indice des mammifères,,-32.44
1988,By species group,Indice des mammifères,,-31.3
1989,By species group,Indice des mammifères,,-29.88
1990,By species group,Indice des mammifères,,-28.17
1991,By species group,Indice des mammifères,,-26.92
1992,By species group,Indice des mammifères,,-26.8
1993,By species group,Indice des mammifères,,-27.25
1994,By species group,Indice des mammifères,,-28.45
1995,By species group,Indice des mammifères,,-26.79
1996,By species group,Indice des mammifères,,-22.86
1997,By species group,Indice des mammifères,,-19.82
1998,By species group,Indice des mammifères,,-20.35
1999,By species group,Indice des mammifères,,-22.16
2000,By species group,Indice des mammifères,,-23.21
2001,By species group,Indice des mammifères,,-24.94
2002,By species group,Indice des mammifères,,-26.32
2003,By species group,Indice des mammifères,,-26.01
2004,By species group,Indice des mammifères,,-23.76
2005,By species group,Indice des mammifères,,-21.41
2006,By species group,Indice des mammifères,,-19.55
2007,By species group,Indice des mammifères,,-17.97
2008,By species group,Indice des mammifères,,-17.57
2009,By species group,Indice des mammifères,,-18.24
2010,By species group,Indice des mammifères,,-20.36
2011,By species group,Indice des mammifères,,-23.88
2012,By species group,Indice des mammifères,,-30.32
2013,By species group,Indice des mammifères,,-32.89
2014,By species group,Indice des mammifères,,-36.83
2015,By species group,Indice des mammifères,,-37.45
2016,By species group,Indice des mammifères,,-36.99
2017,By species group,Indice des mammifères,,-42.68
2018,By species group,Indice des mammifères,,-42.26
1970,By species group,Indice des poissons,,0.0
1971,By species group,Indice des poissons,,5.68
1972,By species group,Indice des poissons,,10.05
1973,By species group,Indice des poissons,,12.51
1974,By species group,Indice des poissons,,14.15
1975,By species group,Indice des poissons,,14.51
1976,By species group,Indice des poissons,,13.21
1977,By species group,Indice des poissons,,12.08
1978,By species group,Indice des poissons,,10.97
1979,By species group,Indice des poissons,,10.66
1980,By species group,Indice des poissons,,10.37
1981,By species group,Indice des poissons,,9.93
1982,By species group,Indice des poissons,,9.31
1983,By species group,Indice des poissons,,8.83
1984,By species group,Indice des poissons,,8.78
1985,By species group,Indice des poissons,,9.11
1986,By species group,Indice des poissons,,7.7
1987,By species group,Indice des poissons,,5.1
1988,By species group,Indice des poissons,,2.14
1989,By species group,Indice des poissons,,-1.21
1990,By species group,Indice des poissons,,-4.13
1991,By species group,Indice des poissons,,-6.27
1992,By species group,Indice des poissons,,-7.61
1993,By species group,Indice des poissons,,-6.81
1994,By species group,Indice des poissons,,-3.99
1995,By species group,Indice des poissons,,-2.91
1996,By species group,Indice des poissons,,-3.2
1997,By species group,Indice des poissons,,-4.6
1998,By species group,Indice des poissons,,-6.64
1999,By species group,Indice des poissons,,-7.95
2000,By species group,Indice des poissons,,-8.55
2001,By species group,Indice des poissons,,-8.49
2002,By species group,Indice des poissons,,-9.22
2003,By species group,Indice des poissons,,-9.73
2004,By species group,Indice des poissons,,-12.97
2005,By species group,Indice des poissons,,-14.3
2006,By species group,Indice des poissons,,-14.61
2007,By species group,Indice des poissons,,-15.23
2008,By species group,Indice des poissons,,-16.16
2009,By species group,Indice des poissons,,-16.39
2010,By species group,Indice des poissons,,-16.69
2011,By species group,Indice des poissons,,-16.88
2012,By species group,Indice des poissons,,-18.36
2013,By species group,Indice des poissons,,-20.9
2014,By species group,Indice des poissons,,-22.69
2015,By species group,Indice des poissons,,-23.58
2016,By species group,Indice des poissons,,-22.8
2017,By species group,Indice des poissons,,-26.55
2018,By species group,Indice des poissons,,-29.81
1970,By system,,Indice terrestre,0.0
1971,By system,,Indice terrestre,-0.04
1972,By system,,Indice terrestre,-0.35
1973,By system,,Indice terrestre,-0.9
1974,By system,,Indice terrestre,-2.05
1975,By system,,Indice terrestre,-2.4
1976,By system,,Indice terrestre,-2.22
1977,By system,,Indice terrestre,-1.9
1978,By system,,Indice terrestre,-1.15
1979,By system,,Indice terrestre,-0.4
1980,By system,,Indice terrestre,0.65
1981,By system,,Indice terrestre,1.6
1982,By system,,Indice terrestre,1.34
1983,By system,,Indice terrestre,1.23
1984,By system,,Indice terrestre,2.44
1985,By system,,Indice terrestre,3.27
1986,By system,,Indice terrestre,4.31
1987,By system,,Indice terrestre,3.93
1988,By system,,Indice terrestre,3.72
1989,By system,,Indice terrestre,3.63
1990,By system,,Indice terrestre,3.6
1991,By system,,Indice terrestre,3.48
1992,By system,,Indice terrestre,3.25
1993,By system,,Indice terrestre,2.72
1994,By system,,Indice terrestre,1.6
1995,By system,,Indice terrestre,0.79
1996,By system,,Indice terrestre,0.59
1997,By system,,Indice terrestre,0.07
1998,By system,,Indice terrestre,-1.52
1999,By system,,Indice terrestre,-3.56
2000,By system,,Indice terrestre,-4.88
2001,By system,,Indice terrestre,-6.1
2002,By system,,Indice terrestre,-6.99
2003,By system,,Indice terrestre,-7.28
2004,By system,,Indice terrestre,-7.09
2005,By system,,Indice terrestre,-6.64
2006,By system,,Indice terrestre,-6.4
2007,By system,,Indice terrestre,-6.42
2008,By system,,Indice terrestre,-7.14
2009,By system,,Indice terrestre,-8.14
2010,By system,,Indice terrestre,-9.21
2011,By system,,Indice terrestre,-10.23
2012,By system,,Indice terrestre,-11.49
2013,By system,,Indice terrestre,-12.39
2014,By system,,Indice terrestre,-13.28
2015,By system,,Indice terrestre,-13.55
2016,By system,,Indice terrestre,-13.44
2017,By system,,Indice terrestre,-14.25
2018,By system,,Indice terrestre,-14.21
1970,By system,,Indice d'eau douce,0.0
1971,By system,,Indice d'eau douce,3.08
1972,By system,,Indice d'eau douce,5.94
1973,By system,,Indice d'eau douce,8.47
1974,By system,,Indice d'eau douce,11.19
1975,By system,,Indice d'eau douce,13.82
1976,By system,,Indice d'eau douce,14.79
1977,By system,,Indice d'eau douce,15.01
1978,By system,,Indice d'eau douce,16.4
1979,By system,,Indice d'eau douce,18.19
1980,By system,,Indice d'eau douce,20.21
1981,By system,,Indice d'eau douce,22.56
1982,By system,,Indice d'eau douce,24.85
1983,By system,,Indice d'eau douce,27.16
1984,By system,,Indice d'eau douce,29.24
1985,By system,,Indice d'eau douce,31.14
1986,By system,,Indice d'eau douce,32.47
1987,By system,,Indice d'eau douce,32.04
1988,By system,,Indice d'eau douce,32.61
1989,By system,,Indice d'eau douce,33.3
1990,By system,,Indice d'eau douce,37.03
1991,By system,,Indice d'eau douce,38.27
1992,By system,,Indice d'eau douce,39.67
1993,By system,,Indice d'eau douce,42.55
1994,By system,,Indice d'eau douce,46.97
1995,By system,,Indice d'eau douce,49.31
1996,By system,,Indice d'eau douce,47.62
1997,By system,,Indice d'eau douce,45.4
1998,By system,,Indice d'eau douce,43.43
1999,By system,,Indice d'eau douce,43.6
2000,By system,,Indice d'eau douce,43.54
2001,By system,,Indice d'eau douce,44.34
2002,By system,,Indice d'eau douce,45.04
2003,By system,,Indice d'eau douce,44.99
2004,By system,,Indice d'eau douce,44.83
2005,By system,,Indice d'eau douce,44.67
2006,By system,,Indice d'eau douce,45.09
2007,By system,,Indice d'eau douce,44.46
2008,By system,,Indice d'eau douce,42.89
2009,By system,,Indice d'eau douce,41.76
2010,By system,,Indice d'eau douce,41.63
2011,By system,,Indice d'eau douce,41.93
2012,By system,,Indice d'eau douce,41.85
2013,By system,,Indice d'eau douce,39.87
2014,By system,,Indice d'eau douce,37.56
2015,By system,,Indice d'eau douce,36.56
2016,By system,,Indice d'eau douce,36.52
2017,By system,,Indice d'eau douce,37.83
2018,By system,,Indice d'eau douce,37.71
1970,By system,,Indice marin,0.0
1971,By system,,Indice marin,4.88
1972,By system,,Indice marin,9.42
1973,By system,,Indice marin,12.88
1974,By system,,Indice marin,15.69
1975,By system,,Indice marin,17.08
1976,By system,,Indice marin,17.21
1977,By system,,Indice marin,16.95
1978,By system,,Indice marin,16.47
1979,By system,,Indice marin,16.7
1980,By system,,Indice marin,16.85
1981,By system,,Indice marin,16.6
1982,By system,,Indice marin,15.93
1983,By system,,Indice marin,15.28
1984,By system,,Indice marin,14.88
1985,By system,,Indice marin,15.12
1986,By system,,Indice marin,14.09
1987,By system,,Indice marin,11.51
1988,By system,,Indice marin,9.29
1989,By system,,Indice marin,6.67
1990,By system,,Indice marin,4.39
1991,By system,,Indice marin,2.95
1992,By system,,Indice marin,1.93
1993,By system,,Indice marin,2.12
1994,By system,,Indice marin,3.61
1995,By system,,Indice marin,4.24
1996,By system,,Indice marin,4.84
1997,By system,,Indice marin,5.51
1998,By system,,Indice marin,5.37
1999,By system,,Indice marin,5.36
2000,By system,,Indice marin,5.26
2001,By system,,Indice marin,5.67
2002,By system,,Indice marin,4.77
2003,By system,,Indice marin,3.79
2004,By system,,Indice marin,1.97
2005,By system,,Indice marin,1.73
2006,By system,,Indice marin,1.45
2007,By system,,Indice marin,0.89
2008,By system,,Indice marin,-0.03
2009,By system,,Indice marin,-0.43
2010,By system,,Indice marin,-1.22
2011,By system,,Indice marin,-1.93
2012,By system,,Indice marin,-4.35
2013,By system,,Indice marin,-7.47
2014,By system,,Indice marin,-9.77
2015,By system,,Indice marin,-11.12
2016,By system,,Indice marin,-10.82
2017,By system,,Indice marin,-16.94
2018,By system,,Indice marin,-16.49
