Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2024,Manitoba,Autres familles de personnes âgées,46,97300.0
2015,Dollars constants de 2024,Manitoba,Familles de personnes non âgées,46,97500.0
2015,Dollars constants de 2024,Manitoba,Couples,46,93500.0
2015,Dollars constants de 2024,Manitoba,Couples avec des enfants,46,106600.0
2015,Dollars constants de 2024,Manitoba,Couples avec d'autres personnes apparentées,46,143300.0
2015,Dollars constants de 2024,Manitoba,One-parent families,46,48300.0
2015,Dollars constants de 2024,Manitoba,One-parent families in which the parent is a man+,46,
2015,Dollars constants de 2024,Manitoba,One-parent families in which the parent is a woman+,46,47200.0
2015,Dollars constants de 2024,Manitoba,Autres familles de personnes non âgées,46,79500.0
2015,Dollars constants de 2024,Manitoba,Personnes hors famille économique,46,40200.0
2015,Dollars constants de 2024,Manitoba,Personnes âgées hors famille économique,46,35700.0
2015,Dollars constants de 2024,Manitoba,Senior men+ not in an economic family,46,41600.0
2015,Dollars constants de 2024,Manitoba,Senior women+ not in an economic family,46,33300.0
2015,Dollars constants de 2024,Manitoba,Personnes non âgées hors famille économique,46,42100.0
2015,Dollars constants de 2024,Manitoba,Non-senior men+ not in an economic family,46,44400.0
2015,Dollars constants de 2024,Manitoba,Non-senior women+ not in an economic family,46,39100.0
2015,Dollars constants de 2024,Saskatchewan,Familles économiques et personnes hors famille économique,47,77600.0
2015,Dollars constants de 2024,Saskatchewan,Familles économiques,47,106800.0
2015,Dollars constants de 2024,Saskatchewan,Familles de personnes âgées,47,76300.0
2015,Dollars constants de 2024,Saskatchewan,Couples de personnes âgées,47,74700.0
2015,Dollars constants de 2024,Saskatchewan,Autres familles de personnes âgées,47,96000.0
2015,Dollars constants de 2024,Saskatchewan,Familles de personnes non âgées,47,113300.0
2015,Dollars constants de 2024,Saskatchewan,Couples,47,100600.0
2015,Dollars constants de 2024,Saskatchewan,Couples avec des enfants,47,123000.0
2015,Dollars constants de 2024,Saskatchewan,Couples avec d'autres personnes apparentées,47,156100.0
2015,Dollars constants de 2024,Saskatchewan,One-parent families,47,57200.0
2015,Dollars constants de 2024,Saskatchewan,One-parent families in which the parent is a man+,47,
2015,Dollars constants de 2024,Saskatchewan,One-parent families in which the parent is a woman+,47,54600.0
2015,Dollars constants de 2024,Saskatchewan,Autres familles de personnes non âgées,47,103700.0
2015,Dollars constants de 2024,Saskatchewan,Personnes hors famille économique,47,43100.0
2015,Dollars constants de 2024,Saskatchewan,Personnes âgées hors famille économique,47,37400.0
2015,Dollars constants de 2024,Saskatchewan,Senior men+ not in an economic family,47,42200.0
2015,Dollars constants de 2024,Saskatchewan,Senior women+ not in an economic family,47,36500.0
2015,Dollars constants de 2024,Saskatchewan,Personnes non âgées hors famille économique,47,45900.0
2015,Dollars constants de 2024,Saskatchewan,Non-senior men+ not in an economic family,47,49000.0
2015,Dollars constants de 2024,Saskatchewan,Non-senior women+ not in an economic family,47,40800.0
2015,Dollars constants de 2024,Alberta,Familles économiques et personnes hors famille économique,48,93100.0
2015,Dollars constants de 2024,Alberta,Familles économiques,48,122800.0
2015,Dollars constants de 2024,Alberta,Familles de personnes âgées,48,83900.0
2015,Dollars constants de 2024,Alberta,Couples de personnes âgées,48,81100.0
2015,Dollars constants de 2024,Alberta,Autres familles de personnes âgées,48,91200.0
2015,Dollars constants de 2024,Alberta,Familles de personnes non âgées,48,128500.0
2015,Dollars constants de 2024,Alberta,Couples,48,126600.0
2015,Dollars constants de 2024,Alberta,Couples avec des enfants,48,135200.0
2015,Dollars constants de 2024,Alberta,Couples avec d'autres personnes apparentées,48,174500.0
2015,Dollars constants de 2024,Alberta,One-parent families,48,69300.0
2015,Dollars constants de 2024,Alberta,One-parent families in which the parent is a man+,48,95700.0
2015,Dollars constants de 2024,Alberta,One-parent families in which the parent is a woman+,48,58100.0
2015,Dollars constants de 2024,Alberta,Autres familles de personnes non âgées,48,107700.0
2015,Dollars constants de 2024,Alberta,Personnes hors famille économique,48,48700.0
2015,Dollars constants de 2024,Alberta,Personnes âgées hors famille économique,48,40700.0
2015,Dollars constants de 2024,Alberta,Senior men+ not in an economic family,48,44400.0
2015,Dollars constants de 2024,Alberta,Senior women+ not in an economic family,48,37600.0
2015,Dollars constants de 2024,Alberta,Personnes non âgées hors famille économique,48,52500.0
2015,Dollars constants de 2024,Alberta,Non-senior men+ not in an economic family,48,57000.0
2015,Dollars constants de 2024,Alberta,Non-senior women+ not in an economic family,48,46100.0
