Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2023,Nouveau-Brunswick,Électrique,13,185
2024,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,230
2024,Nouveau-Brunswick,Électrique,13,225
2024,Nouveau-Brunswick,Propane,13,5
2025,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,279
2025,Nouveau-Brunswick,Électrique,13,274
2026,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,299
2026,Nouveau-Brunswick,Électrique,13,294
2012,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,1
2012,Terre-Neuve-et-Labrador,Électrique,10,1
2013,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,5
2013,Terre-Neuve-et-Labrador,Électrique,10,5
2014,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,7
2014,Terre-Neuve-et-Labrador,Électrique,10,7
2015,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,8
2015,Terre-Neuve-et-Labrador,Électrique,10,8
2016,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,14
2016,Terre-Neuve-et-Labrador,Électrique,10,14
2018,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,17
2018,Terre-Neuve-et-Labrador,Électrique,10,17
2021,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,48
2021,Terre-Neuve-et-Labrador,Électrique,10,48
2022,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,106
2022,Terre-Neuve-et-Labrador,Électrique,10,106
2023,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,127
2023,Terre-Neuve-et-Labrador,Électrique,10,126
2023,Terre-Neuve-et-Labrador,Propane,10,1
2024,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,142
2024,Terre-Neuve-et-Labrador,Électrique,10,140
2024,Terre-Neuve-et-Labrador,Propane,10,2
2025,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,158
2025,Terre-Neuve-et-Labrador,Électrique,10,156
2026,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,176
2026,Terre-Neuve-et-Labrador,Électrique,10,174
2015,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,1
2015,Territoires du Nord-Ouest,Propane,61,1
2023,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,2
2023,Territoires du Nord-Ouest,Électrique,61,1
2024,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,10
2024,Territoires du Nord-Ouest,Électrique,61,9
2025,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,17
2025,Territoires du Nord-Ouest,Électrique,61,16
2026,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,18
2026,Territoires du Nord-Ouest,Électrique,61,17
2012,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,1
2012,Nouvelle-Écosse,Électrique,12,1
2013,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,4
2013,Nouvelle-Écosse,Électrique,12,3
2013,Nouvelle-Écosse,Propane,12,1
2014,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,10
2014,Nouvelle-Écosse,Électrique,12,9
2015,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,21
2015,Nouvelle-Écosse,Électrique,12,19
2015,Nouvelle-Écosse,Propane,12,2
2016,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,23
2016,Nouvelle-Écosse,Électrique,12,21
2017,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,26
2017,Nouvelle-Écosse,Électrique,12,24
2018,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,27
2018,Nouvelle-Écosse,Électrique,12,25
2019,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,45
2019,Nouvelle-Écosse,Électrique,12,43
2020,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,47
2020,Nouvelle-Écosse,Électrique,12,45
2021,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,60
2021,Nouvelle-Écosse,Électrique,12,57
2021,Nouvelle-Écosse,Propane,12,3
2022,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,130
2022,Nouvelle-Écosse,Électrique,12,126
2022,Nouvelle-Écosse,Propane,12,4
2023,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,209
2023,Nouvelle-Écosse,Électrique,12,205
2024,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,255
2024,Nouvelle-Écosse,Électrique,12,250
2024,Nouvelle-Écosse,Propane,12,5
2025,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,304
2025,Nouvelle-Écosse,Électrique,12,299
2026,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,326
2026,Nouvelle-Écosse,Électrique,12,321
2010,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,31
2010,Ontario,Électrique,35,1
2010,Ontario,Propane,35,30
2011,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,36
2011,Ontario,Électrique,35,6
2012,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,43
2012,Ontario,Électrique,35,13
2013,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,60
2013,Ontario,Électrique,35,28
2013,Ontario,Propane,35,32
2014,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,94
2014,Ontario,Gaz naturel comprimé,35,1
2014,Ontario,Électrique,35,60
2014,Ontario,Propane,35,33
2015,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,158
2015,Ontario,Gaz naturel comprimé,35,2
2015,Ontario,Électrique,35,122
2015,Ontario,Propane,35,34
2016,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,197
2016,Ontario,Électrique,35,159
2016,Ontario,Hydrogène,35,1
2016,Ontario,Propane,35,35
